track_id,song_name,artist_name,album_movie_name,mood_label,language
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),Jeet Gannguli,Hamari Adhuri Kahani,sad,hindi
2FCXQHugkoHE1K3tiDu8pu,Agar Tum Saath Ho,Alka Yagnik,Love Forever With Arijit Singh,sad,hindi
4XTgFBxBHN6var1BzAgE1m,Jhol,Maanu,Jhol,sad,hindi
1UWacd8x8tPPwmrPB1MoBI,Ae Dil Hai Mushkil Title Track,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],sad,hindi
4vHRQnzGcKEtqsLH70tAms,Raanjhan,Sachet-Parampara,Do Patti,sad,hindi
5qMKcWk6Lcuz0t3R9Ed1NO,Stay,King,Stay,sad,hindi
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,Arijit Singh,Aashiqui 2,sad,hindi
3trnNo4KeaUlFuUiV7iRCj,Tera Chehra,Arijit Singh,Sanam Teri Kasam,sad,hindi
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,Die With A Smile,sad,English
6EivvaEepVTjmDde43eGiB,Ve Kamleya,Pritam,Rocky Aur Rani Kii Prem Kahaani,sad,hindi
2ZzZ2qwZBWlDKs420hhloc,Maand,Bayaan,Safar,sad,hindi
5GJ3WaxTSlxDY3csctX20H,Bewajah,Himesh Reshammiya,Sanam Teri Kasam,sad,hindi
1YMLgvsQdE27r30q0fsLeV,Tera Fitoor,Arijit Singh,Genius,sad,hindi
0SA1zJy9pTG3xMKmyhTWiH,Dekha Ji Dekha Maine,Jaani,Dekha Ji Dekha Maine,sad,hindi
2PvaburAUlhNHxVhw5lvOq,Humdard,Arijit Singh,Ultimate Love Songs - Arijit Singh,sad,hindi
5zCnGtCl5Ac5zlFHXaZmhy,Sajni,Ram Sampath,Laapataa Ladies,sad,hindi
5En9zOsP5wURF47Fxzh66o,Bhool Bhulaiya,Hanita Bhambri,Bhool Bhulaiya,sad,hindi
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,Vishal Mishra,ANIMAL,sad,hindi
388EAed7c6eKGbkqM3oYUP,Galatfehmi,Sachin-Jigar,Nadaaniyan,sad,hindi
7hDoxkN20lLb06zifzYnD2,"Ishq - From ""Lost;Found""",Faheem Abdullah,Lost;Found,sad,hindi
5FDVyL6VahLO3B4T7xRYD9,Qatal,Guru Randhawa,WITHOUT PREJUDICE,sad,hindi
1fcCPXmH4vUzG6UQTTjZp5,Phir Bhi Tumko Chaahunga,Mithoon,The Arijit Singh Collection,sad,hindi
5uVdnHJtxvpy3BSmoxV5Kn,Sajna Ve,Ravator,Sajna Ve,sad,hindi
2GXXZFUxYg2LvG8SR0byOE,Jeena Jeena,Sachin-Jigar,Badlapur,sad,hindi
3jf5303mzzJ96O8xFTcEn4,Mann Bharryaa 2.0,B Praak,Shershaah,sad,hindi
7KH7qQDC34EPT0sK3EJP3s,Tell Me,Karan Aujla,Tell Me,sad,hindi
4bD9z9qa4qg9BhryvYWB7c,Kabira,Pritam,Yeh Jawaani Hai Deewani,sad,hindi
32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,Ami Mishra,Hamari Adhuri Kahani,sad,hindi
1EZzUDV9IdzLVgmz7v86nx,AANKH,Sunidhi Chauhan,AANKH,sad,hindi
4VhqKzBeAlhTjLYZr0oJx8,Tu hai kahan,AUR,Tu hai kahan,sad,hindi
1y1rQTkWmrZdJmjwuK07GC,Kaise Hua,Vishal Mishra,Kabir Singh,sad,hindi
09VWVd647SOaxdOldbQ60U,Malwa Flow,Khan Bhaini,Malwa Flow,sad,hindi
3GrCQPpKqKzOcKfMAoqn82,Bolna,Tanishk Bagchi,Kapoor & Sons (Since 1921),sad,hindi
4XKQsdsPfff5xzNpZW6gCT,Tu Chaand Hai,Akhil Sachdeva,Tu Chaand Hai,sad,hindi
4blqlsA1uf2d2I40E90EUC,Tere Hawaale,Pritam,Laal Singh Chaddha,sad,hindi
72zHuDxFQTjbL51qJQSA7j,Ranjha,Jasleen Royal,Shershaah,sad,hindi
6j0Z1rhxDj3rqIgEqnauEW,Chhoti Baatein,Aary,Chhoti Baatein,sad,hindi
0czcoKJbJt08NqKrvSbbz7,O Bedardeya,Pritam,Tu Jhoothi Main Makkaar,sad,hindi
3WLJ7D5kh44K5eJ1NqZQ6W,Baarishein,Anuv Jain,Baarishein,sad,hindi
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Starboy,sad,hindi
6TFESXMfJJWwccviaxGAMa,Humsafar,Akhil Sachdeva,Badrinath Ki Dulhania,sad,hindi
6gwnKOvdBKkTU4CQ7KpIAu,"Bandeya - From ""Dil Juunglee""",Shaarib Toshi,Dil Juunglee,sad,hindi
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,Hurry Up Tomorrow,sad,hindi
75p6BrziB5urmwPCeXl3y7,Main Dhoondne Ko Zamaane Mein,Arijit Singh,Heartless,sad,hindi
2y0hUGvHaKm2p5xmJF4HBe,Saware,Arijit Singh,Ultimate Love Songs - Arijit Singh,sad,hindi
7cMhicmOIwfJlWURl90AOc,Follow You,Noizy,Follow You,sad,hindi
6cUOiOY5qh2FpIQWIYAd2h,Mehrama,Pritam,Love Aaj Kal,sad,hindi
5fJeJQBDLq1A6iNNX4spkO,Churake,Vilen,Churake,sad,hindi
4eFnk661RcdOuH9ajiTO3j,Banjaara,Mohammed Irfan,Ek Villain,sad,hindi
33ZSjdEUt5LmAgF1DRizHF,Ishaare,Sejal,Finding Joy,sad,hindi
2Fv2injs4qAm8mJBGaxVKU,Tujhe Kitna Chahne Lage,Arijit Singh,Kabir Singh,sad,hindi
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),sad,hindi
1feANd8EfcDP5UqSvbheM3,Bekhayali,Sachet Tandon,Kabir Singh,sad,hindi
6mTvwBzWTGDOVeCNQEqtOE,Soch Na Sake,Amaal Mallik,Airlift,sad,hindi
0EYrMu9FdtUTMZ8EK6cg5Q,Simti,Anumita Nadesan,Simti,sad,hindi
1L3Nsi7YXtBxTdnbqektia,Hawa Banke,Darshan Raval,Hawa Banke,sad,hindi
7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,Pritam,Kalank,sad,hindi
0OlYIIUtBAWF2iEiTYan5h,Aashiyan,gini,Aashiyan,sad,hindi
4RCd3Gdtt3dNedof64hqRD,Phir Mohabbat,Mohammed Irfan,Ultimate Love Songs - Arijit Singh,sad,hindi
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,Timeless,sad,hindi
3ySVdXje5nm31d7vL3jNV3,Galliyan,Ankit Tiwari,Ek Villain,sad,hindi
0oyRsViujx1G3roko1ccsL,CHAL,Dabzee,DELKOCHI,sad,hindi
7w5Je2ouh5Zxp5nfaGitvy,Naina,Arijit Singh,Dangal,sad,hindi
3f0wz6zcA7XkQiGm0qNF5r,Thodi Jagah,Arijit Singh,Marjaavaan,sad,hindi
4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,sad,hindi
0rlLBWFFTQiOWi963SH9bb,Choo Lo,The Local Train,Aalas Ka Pedh,sad,hindi
4ZAfFg1SAqPRZgRb09vMsZ,Yeh Kahani,Shael,Yeh Kahani,sad,hindi
3FbZoPzEaUBOD84l1FwFEH,Mujhe Peene Do,Darshan Raval,Mujhe Peene Do,sad,hindi
2MsGTWvf7dcjKbI0WTq6Pz,Judaai,Sachin-Jigar,Badlapur,sad,hindi
36dVY8T3zHcL0m1H0UqBX4,Gal Dil Wali,EKAM,Gal Dil Wali,sad,hindi
18YHbIhrleUkKKj2DvEp79,Zara Sa,Pritam,Jannat,sad,hindi
3bZPdEskcnMdepwCaDSJRl,Bin Tere,Vishal-Shekhar,I Hate Luv Storys,sad,hindi
1mfNvoZ1Ks7oAdVSOGPJQG,Pura Saal,Abdullah Muzaffar,Rags To Riches,sad,hindi
4BTPzhEsyW3blWcxcuhLM0,Mitwa,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna,sad,hindi
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,Javed-Mohsin,Pal,sad,hindi
55fSZWdcvMPJga3LbiV8jN,Noor E Khuda,Shankar-Ehsaan-Loy,My Name Is Khan,sad,hindi
37ZzRCXyqr1U88A3GWo6UJ,Raahon Ne,Aniya Vibes,Raahon Ne,sad,hindi
4OcvkkpF3xmyCGGY5IBlgi,Tera Ban Jaunga,Akhil Sachdeva,Best Of Akhil Sachdeva,sad,hindi
0H2iJVgorRR0ZFgRqGUjUM,Channa Mereya,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],sad,hindi
5eOZW6Sqmt34JHdZdYjHd2,SHUNDA MANDI,Dabzee,SHUNDA MANDI,sad,hindi
7cWnks0lsRtpAi87COOiXK,O Re Piya,Salim–Sulaiman,Aaja Nachle,sad,hindi
0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,Darshan Raval,Asal Mein,sad,hindi
3fwyItGexa88kR8j76dIqv,Aziyat 2.0 - Reprise Version,Pratsofficial,Aziyat 2.0 (Reprise Version),sad,hindi
5O932cZmzOZGOGZz9RHx20,Khairiyat,Pritam,Chhichhore,sad,hindi
0JBhoxPKHJc1ZeJrjSt0VO,Tera Ghata,Gajendra Verma,Tera Ghata,sad,hindi
6E9UwSfT80age2xknoMS7Y,Tum Hi Aana,Payal Dev,Marjaavaan,sad,hindi
043SPVu75TXbs94ZfM9dfn,Dil,Kaushik-Guddu,Ek Villain Returns,sad,hindi
6L4QbsQrP9ZiZdz9SfOSGV,Yeh Dooriyan,Pritam,Love Aaj Kal,sad,hindi
4ZTx87kAgEwlPMzoojFZWg,Tera Yaar Hoon Main,Rochak Kohli,Sonu Ke Titu Ki Sweety,sad,hindi
4aHOJ8ORNz0OMCfpYr4Zmp,Tu Hi Tu (Acoustic),Sama Thakore,Tu Hi Tu (Acoustic),sad,hindi
0aoN9BQostK81IFddJn8Ej,Chidiya,Vilen,Chidiya,sad,hindi
5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2,sad,hindi
0up9rhm9qt2LW7cnoDFCMk,Jiyein Kyun,Pritam,Dum Maaro Dum,sad,hindi
5rpCUsEfBLIumvrxrahnKF,Wishes,Hasan Raheem,"Maybe, It's Love",sad,hindi
2dMlTWQbY9tfPFLIqAa7Tv,Kahani Meri,Kaifi Khalil,Kahani Meri,sad,hindi
2Hu0FRBMFDmEhajRzvNN6T,Halka Halka,Rahat Fateh Ali Khan,Halka Halka,sad,hindi
0XRb6eZE4dBIJdqwf1Mixu,Suniyan Suniyan,Juss,Suniyan Suniyan,sad,hindi
5OkotPzdz4hiSu58bMTqX2,Main Wahin Milunga,Rahul Mishra,Main Wahin Milunga,sad,hindi
1hlbywc8Jhl1FFqJxAMabE,Ishq,Faheem Abdullah,Lost;Found,sad,hindi
5EkuhS6Fxi7JgwaNJaaVvB,MERA YAAR,Savi Kahlon,MERA YAAR,sad,hindi
3hkC9EHFZNQPXrtl8WPHnX,Agar Tum Saath Ho,Alka Yagnik,Tamasha,sad,hindi
